PROPERTYADDRESS,PROPERTYCITY,PROPERTYZIP,MUNIDESC,SCHOOLDESC,NEIGHDESC,TAXDESC,OWNERDESC,CLASSDESC,USEDESC,LOTAREA,HOMESTEADFLAG,ABATEMENTFLAG,RECORDDATE,SALEDATE,SALEPRICE,SALEDESC,PREVSALEDATE,PREVSALEPRICE,COUNTYBUILDING,COUNTYLAND,COUNTYTOTAL,COUNTYEXEMPTBLDG,LOCALBUILDING,LOCALLAND,LOCALTOTAL,FAIRMARKETBUILDING,FAIRMARKETLAND,FAIRMARKETTOTAL,STYLEDESC,STORIES,YEARBLT,EXTFINISH_DESC,ROOFDESC,BASEMENTDESC,GRADE,GRADEDESC,CONDITION,CONDITIONDESC,CDUDESC,TOTALROOMS,BEDROOMS,FULLBATHS,HALFBATHS,HEATINGCOOLINGDESC,FIREPLACES,BSMTGARAGE
PENNSBURY BLVD,PITTSBURGH,15205,Pennsbury Village  ,Montour,PENNSBURY VILLAGE,20 - Taxable,REGULAR,RESIDENTIAL,CONDOMINIUM,0,,,06-22-2005,06-22-2005,89900.0,VALID SALE,05-15-2003,75000.0,90600,0,90600,0,90600,0,90600,90600,0,90600,CONDO INT,2.0,1974.0,Brick,ROLL,None,C,AVERAGE,3.0,AVERAGE,AVERAGE,3.0,2.0,1.0,0.0,Central Heat with AC,0.0,0.0
DELAWARE AVE,PITTSBURGH,15221,Braddock Hills  ,Woodland Hills,BRADDOCK HILLS,20 - Taxable,REGULAR,RESIDENTIAL,VACANT LAND,6000,,,,10-04-1935,0.0,NOT APPLICABLE,,,0,500,500,0,0,500,500,0,500,500,,,,,,,,,,,,,,,,,,
AUDREY DR,PITTSBURGH,15236,Pleasant Hills  ,West Jefferson,PLEASANT HILLS BOROUGH,20 - Taxable,REGULAR,RESIDENTIAL,VACANT LAND,10473,,,10-29-2013,10-29-2013,1.0,LOVE&AFFECTION,06-18-1954,0.0,0,42100,42100,0,0,42100,42100,0,42100,42100,,,,,,,,,,,,,,,,,,
PLAZA RD,PITTSBURGH,15236,Pleasant Hills  ,West Jefferson,PLEASANT HILLS BOROUGH,20 - Taxable,CORPORATION,RESIDENTIAL,BUILDERS LOT,14053,,,12-01-2014,11-17-2014,325000.0,MULTI-PARCEL SA,,,0,1800,1800,0,0,1800,1800,0,1800,1800,,,,,,,,,,,,,,,,,,
HILLOCK LN,PITTSBURGH,15236,Pleasant Hills  ,West Jefferson,PLEASANT HILLS BOROUGH,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,12791,HOM,,,06-16-1964,0.0,NOT APPLICABLE,,,58900,45100,104000,0,76900,45100,122000,76900,45100,122000,RANCH,1.0,1955.0,Brick,SHINGLE,Full,C,AVERAGE,3.0,AVERAGE,AVERAGE,6.0,3.0,1.0,2.0,Central Heat with AC,1.0,2.0
SHADOW DR,PITTSBURGH,15227,Whitehall  ,Baldwin Whitehall,WHITEHALL BOROUGH,20 - Taxable,REGULAR,RESIDENTIAL,TOWNHOUSE,1248,HOM,,,05-07-1999,65000.0,VALID SALE,02-20-1986,44000.0,40900,30300,71200,0,58900,30300,89200,58900,30300,89200,TOWNHOUSE,2.0,1982.0,Masonry FRAME,SHINGLE,Full,C-,AVERAGE -,3.0,AVERAGE,AVERAGE,4.0,2.0,1.0,1.0,Central Heat with AC,0.0,1.0
MARYLEA AVE,PITTSBURGH,15227,Whitehall  ,Baldwin Whitehall,WHITEHALL BOROUGH,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,15280,HOM,,06-28-2013,06-28-2013,0.0,LOVE&AFFECTION,03-29-1994,0.0,37500,55400,92900,0,55500,55400,110900,55500,55400,110900,RANCH,1.0,1953.0,Brick,SHINGLE,Full,C,AVERAGE,3.0,AVERAGE,AVERAGE,7.0,3.0,1.0,1.0,Central Heat with AC,0.0,1.0
SETON ST,PITTSBURGH,15227,Whitehall  ,Baldwin Whitehall,WHITEHALL BOROUGH,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,9733,HOM,,04-12-2006,04-12-2006,1.0,LOVE&AFFECTION,03-23-2006,1.0,44400,49800,94200,0,62400,49800,112200,62400,49800,112200,RANCH,1.0,1956.0,Brick,SHINGLE,Full,C,AVERAGE,3.0,AVERAGE,AVERAGE,5.0,2.0,1.0,0.0,Central Heat,0.0,1.0
WHITEHILL CIR,PITTSBURGH,15227,Whitehall  ,Baldwin Whitehall,WHITEHALL BOROUGH,20 - Taxable,REGULAR-ETAL,RESIDENTIAL,SINGLE FAMILY,12812,,,12-11-2012,12-11-2012,146000.0,OTHER,11-19-1970,0.0,79900,60100,140000,0,79900,60100,140000,79900,60100,140000,RANCH,1.0,1953.0,Brick,SHINGLE,Full,C,AVERAGE,3.0,AVERAGE,AVERAGE,6.0,3.0,2.0,0.0,Central Heat with AC,1.0,1.0
RAINTREE DR,PITTSBURGH,15236,Whitehall  ,Baldwin Whitehall,WHITEHALL BOROUGH,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,8891,HOM,,03-12-2014,03-12-2014,160000.0,OTHER VALID,02-10-1965,0.0,81500,47800,129300,0,99500,47800,147300,99500,47800,147300,COLONIAL,2.0,1965.0,Brick,SHINGLE,Full,C,AVERAGE,3.0,AVERAGE,AVERAGE,8.0,4.0,2.0,1.0,Electric,1.0,2.0
DUNCAN LN,PITTSBURGH,15236,Whitehall  ,Baldwin Whitehall,WHITEHALL BOROUGH,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,TOWNHOUSE,7279,HOM,,,09-04-2002,139900.0,VALID SALE,05-05-1950,0.0,104800,44200,149000,0,122800,44200,167000,122800,44200,167000,TOWNHOUSE,1.5,2002.0,Frame,SHINGLE,Slab/Piers,C,AVERAGE,3.0,AVERAGE,AVERAGE,6.0,2.0,2.0,0.0,Central Heat with AC,,
DUNCAN LN,PITTSBURGH,15236,Whitehall  ,Baldwin Whitehall,WHITEHALL BOROUGH,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,TOWNHOUSE,9573,HOM,,08-24-2007,08-24-2007,230000.0,SALE NOT ANALYZ,09-14-1998,129900.0,115600,49400,165000,0,133600,49400,183000,133600,49400,183000,TOWNHOUSE,1.8,1999.0,Frame,SHINGLE,None,C,AVERAGE,3.0,AVERAGE,AVERAGE,6.0,3.0,2.0,0.0,Central Heat with AC,0.0,0.0
MORNINGRISE DR,PITTSBURGH,15236,Whitehall  ,Baldwin Whitehall,WHITEHALL BOROUGH,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,9000,HOM,,10-10-2008,10-10-2008,1.0,LOVE&AFFECTION,05-05-1950,0.0,57000,48100,105100,0,75000,48100,123100,75000,48100,123100,RANCH,1.0,1955.0,Brick,SHINGLE,Full,C,AVERAGE,3.0,AVERAGE,AVERAGE,6.0,3.0,1.0,1.0,Central Heat with AC,1.0,1.0
ROBERTA DR,PITTSBURGH,15236,Whitehall  ,Baldwin Whitehall,WHITEHALL BOROUGH,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,8314,HOM,,,04-30-1993,85500.0,VALID SALE,,,60700,50800,111500,0,78700,50800,129500,78700,50800,129500,RANCH,1.0,1954.0,Brick,SHINGLE,Full,C+,AVERAGE +,3.0,AVERAGE,AVERAGE,6.0,3.0,2.0,0.0,Central Heat with AC,0.0,1.0
DELMA DR,PITTSBURGH,15236,Whitehall  ,Baldwin Whitehall,WHITEHALL BOROUGH,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,9000,HOM,,10-28-2011,10-28-2011,0.0,LOVE&AFFECTION,02-17-1995,87900.0,62700,48100,110800,0,80700,48100,128800,80700,48100,128800,RANCH,1.0,1953.0,Brick,SHINGLE,Full,C,AVERAGE,3.0,AVERAGE,AVERAGE,6.0,3.0,1.0,1.0,Central Heat with AC,1.0,2.0
CAPITOL ST,MC KEESPORT,15131,White Oak  ,McKeesport Area,WHITE OAK BOROUGH,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,43037,HOM,,04-23-2010,04-23-2010,33500.0,OTHER,03-12-2010,1720.0,0,20700,20700,0,15300,23400,38700,15300,23400,38700,OLD STYLE,1.5,1934.0,Frame,SHINGLE,Full,D,BELOW AVERAGE,4.0,FAIR,FAIR,7.0,3.0,1.0,0.0,Central Heat,0.0,0.0
PARK WAY,MC KEESPORT,15131,White Oak  ,McKeesport Area,WHITE OAK BOROUGH,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,4275,,,,10-07-2002,18000.0,MULTI-PARCEL SA,02-19-1982,1.0,48700,18600,67300,0,48700,18600,67300,48700,18600,67300,CAPE COD,1.0,1927.0,Frame,SHINGLE,Full,C-,AVERAGE -,4.0,FAIR,AVERAGE,5.0,3.0,1.0,0.0,Central Heat,0.0,0.0
MONONGAHELA BLVD,MC KEESPORT,15131,White Oak  ,McKeesport Area,RURAL,20 - Taxable,CORPORATION,COMMERCIAL,VACANT COMMERCIAL LAND,11900,,,,03-11-1976,2800.0,OTHER,,,0,1700,1700,0,0,1700,1700,0,1700,1700,,,,,,,,,,,,,,,,,,
VERMONT AVE,MC KEESPORT,15131,White Oak  ,McKeesport Area,WHITE OAK BOROUGH,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,VACANT LAND,365,,,,08-20-1991,200.0,OTHER INVALID,,,0,200,200,0,0,200,200,0,200,200,,,,,,,,,,,,,,,,,,
JACKS RUN RD,MC KEESPORT,15131,White Oak  ,McKeesport Area,WHITE OAK BOROUGH,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,VACANT LAND,253693,,,01-23-2004,01-23-2004,18000.0,OTHER,10-20-2003,18000.0,0,18000,18000,0,0,18000,18000,0,18000,18000,,,,,,,,,,,,,,,,,,
EISENHOWER DR,MC KEESPORT,15131,White Oak  ,McKeesport Area,WHITE OAK BOROUGH,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,6000,,,,12-13-1972,0.0,NOT APPLICABLE,,,120000,23100,143100,0,120000,23100,143100,120000,23100,143100,RANCH,1.0,1963.0,Brick,SHINGLE,Full,C-,AVERAGE -,2.0,GOOD,GOOD,7.0,3.0,1.0,1.0,Central Heat with AC,1.0,2.0
CYPRESS ST,MC KEESPORT,15131,White Oak  ,McKeesport Area,WHITE OAK BOROUGH,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,7223,HOM,,11-28-2012,11-28-2012,90000.0,VALID SALE,08-05-1987,61000.0,51400,26200,77600,0,69400,26200,95600,69400,26200,95600,RANCH,1.0,1955.0,Brick,SHINGLE,Full,C,AVERAGE,3.0,AVERAGE,AVERAGE,5.0,2.0,1.0,0.0,Central Heat with AC,1.0,0.0
JACKS RUN RD,MC KEESPORT,15131,White Oak  ,McKeesport Area,RURAL,20 - Taxable,CORPORATION,COMMERCIAL,VACANT COMMERCIAL LAND,34325,,,,05-21-1993,600000.0,OTHER INVALID,,,0,10300,10300,0,0,10300,10300,0,10300,10300,,,,,,,,,,,,,,,,,,
WHITE TAIL LN,MC KEESPORT,15131,White Oak  ,McKeesport Area,WHITE OAK BOROUGH,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,22941,HOM,,,06-16-1997,1.0,LOVE&AFFECTION,,,142900,27600,170500,0,160900,27600,188500,160900,27600,188500,COLONIAL,2.0,1997.0,Frame,SHINGLE,Full,B-,GOOD -,3.0,AVERAGE,AVERAGE,8.0,4.0,2.0,1.0,Central Heat with AC,0.0,0.0
OAKWOOD DR,BETHEL PARK,15102,Bethel Park  ,Bethel Park,BETHEL PARK,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,7112,HOM,,,08-02-2001,127800.0,OTHER VALID,01-19-2000,127900.0,85700,39900,125600,0,103700,39900,143600,103700,39900,143600,RANCH,1.0,1955.0,Brick,SHINGLE,Full,C,AVERAGE,2.0,GOOD,GOOD,7.0,3.0,2.0,0.0,Central Heat with AC,1.0,1.0
OREGON TRL,BETHEL PARK,15102,Bethel Park  ,Bethel Park,BETHEL PARK,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,11728,HOM,,,11-24-1971,0.0,NOT APPLICABLE,,,96400,49500,145900,0,114400,49500,163900,114400,49500,163900,COLONIAL,2.0,1950.0,Brick,SHINGLE,Full,C+,AVERAGE +,2.0,GOOD,AVERAGE,7.0,4.0,2.0,1.0,Central Heat with AC,1.0,1.0
DRIFTWOOD DR,BETHEL PARK,15102,Bethel Park  ,Bethel Park,BETHEL PARK,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,13182,HOM,,,06-05-1989,77000.0,VALID SALE,,,80600,50200,130800,0,98600,50200,148800,98600,50200,148800,COLONIAL,2.0,1960.0,Masonry FRAME,SHINGLE,Full,C,AVERAGE,3.0,AVERAGE,AVERAGE,6.0,3.0,1.0,1.0,Central Heat with AC,0.0,2.0
RITTENHOUSE RD,BETHEL PARK,15102,Bethel Park  ,Bethel Park,BETHEL PARK,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,11280,,,09-22-2004,09-22-2004,97000.0,VALID SALE,06-30-2004,2301.0,79500,48500,128000,0,79500,48500,128000,79500,48500,128000,RANCH,1.0,1955.0,Brick,SHINGLE,Full,C,AVERAGE,3.0,AVERAGE,AVERAGE,7.0,3.0,1.0,1.0,Central Heat with AC,1.0,1.0
SUMMIT ST,BETHEL PARK,15102,Bethel Park  ,Bethel Park,BETHEL PARK,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,25037,HOM,,,01-18-2001,1.0,LOVE&AFFECTION,09-26-1985,23000.0,113700,51500,165200,0,131700,51500,183200,131700,51500,183200,RANCH,1.0,1987.0,Frame,SHINGLE,Full,C+,AVERAGE +,3.0,AVERAGE,AVERAGE,6.0,3.0,2.0,0.0,Central Heat with AC,0.0,2.0
CAMBRIDGE RD,BETHEL PARK,15102,Bethel Park  ,Bethel Park,BETHEL PARK,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,10889,,,,09-13-1990,68500.0,VALID SALE,,,49200,47700,96900,0,49200,47700,96900,49200,47700,96900,CAPE COD,1.0,1940.0,Frame,SHINGLE,Crawl,C+,AVERAGE +,3.0,AVERAGE,AVERAGE,6.0,3.0,1.0,0.0,Central Heat with AC,0.0,0.0
CAMBRIDGE RD,BETHEL PARK,15102,Bethel Park  ,Bethel Park,BETHEL PARK,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,11120,HOM,,,01-24-1985,44500.0,VALID SALE,,,76200,48200,124400,0,94200,48200,142400,94200,48200,142400,COLONIAL,2.0,1950.0,Masonry FRAME,SHINGLE,Full,C+,AVERAGE +,3.0,AVERAGE,AVERAGE,7.0,3.0,1.0,0.0,Central Heat with AC,1.0,1.0
SUMMIT ST,BETHEL PARK,15102,Bethel Park  ,Bethel Park,BETHEL PARK,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,35379,HOM,,,06-18-1962,0.0,NOT APPLICABLE,,,91100,52600,143700,0,109100,52600,161700,109100,52600,161700,RANCH,1.0,1950.0,Masonry FRAME,SHINGLE,Full,C+,AVERAGE +,3.0,AVERAGE,AVERAGE,7.0,3.0,1.0,2.0,Central Heat with AC,1.0,1.0
SUNNYSIDE RD,BETHEL PARK,15102,Bethel Park  ,Bethel Park,BETHEL PARK,20 - Taxable,REGULAR,RESIDENTIAL,VACANT LAND,2771,,,,06-22-1993,100000.0,OTHER,,,0,300,300,0,0,300,300,0,300,300,,,,,,,,,,,,,,,,,,
SOUTH PARK RD,BETHEL PARK,15102,Bethel Park  ,Bethel Park,BETHEL PARK,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,21214,HOM,,,06-06-1979,38500.0,VALID SALE,,,70500,51100,121600,0,88500,51100,139600,88500,51100,139600,COLONIAL,2.0,1950.0,Brick,SHINGLE,None,C,AVERAGE,3.0,AVERAGE,AVERAGE,5.0,3.0,1.0,0.0,Central Heat with AC,0.0,0.0
ARAPAHOE RD,PITTSBURGH,15241,Bethel Park  ,Bethel Park,BETHEL PARK,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,16000,,,06-03-2016,06-03-2016,240000.0,CORRECTN / DUP,01-11-2016,60000.0,108100,50500,158600,0,108100,50500,158600,108100,50500,158600,CAPE COD,1.5,1945.0,Brick,SLATE,Full,C+,AVERAGE +,3.0,AVERAGE,AVERAGE,6.0,2.0,1.0,1.0,Central Heat with AC,1.0,1.0
SOUTH PARK RD,BETHEL PARK,15102,Bethel Park  ,Bethel Park,SUBURBAN (SOUTH AND WEST OF PITTSBURGH),10 - Exempt,CORPORATION,GOVERNMENT,FEDERAL GOVERNMENT,65340,,,10-05-1978,11-03-1977,350000.0,NOT APPLICABLE,,,1454600,172800,1627400,0,1454600,172800,1627400,1454600,172800,1627400,,,,,,,,,,,,,,,,,,
SOUTH PARK RD,BETHEL PARK,15102,Bethel Park  ,Bethel Park,SUBURBAN (SOUTH AND WEST OF PITTSBURGH),20 - Taxable,REGULAR-ETUX OR ET VIR,COMMERCIAL,RETL/APT'S OVER,20541,,,,06-06-1979,35000.0,VALID SALE,,,243500,105800,349300,0,243500,105800,349300,243500,105800,349300,,,,,,,,,,,,,,,,,,
LINWOOD DR,BETHEL PARK,15102,Bethel Park  ,Bethel Park,BETHEL PARK,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,11752,,,09-28-2009,09-28-2009,119900.0,VALID SALE,05-05-1950,0.0,70600,49500,120100,0,70600,49500,120100,70600,49500,120100,COLONIAL,2.0,1950.0,Brick,SHINGLE,Full,C,AVERAGE,3.0,AVERAGE,AVERAGE,6.0,3.0,1.0,1.0,Central Heat,0.0,1.0
HOLLY HILL DR,BETHEL PARK,15102,Bethel Park  ,Bethel Park,BETHEL PARK,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,17920,HOM,,,08-05-2002,0.0,LOVE&AFFECTION,03-25-1996,0.0,117600,40500,158100,0,135600,40500,176100,135600,40500,176100,SPLIT LEVEL,1.0,1967.0,Brick,SHINGLE,Full,C+,AVERAGE +,3.0,AVERAGE,AVERAGE,8.0,4.0,1.0,1.0,Central Heat with AC,1.0,2.0
HAPPY HILLS DR,BETHEL PARK,15102,Bethel Park  ,Bethel Park,BETHEL PARK,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,10880,HOM,,,11-23-1993,0.0,LOVE&AFFECTION,,,136900,38100,175000,0,154900,38100,193000,154900,38100,193000,COLONIAL,2.0,1974.0,Masonry FRAME,SHINGLE,Full,C+,AVERAGE +,3.0,AVERAGE,AVERAGE,8.0,4.0,2.0,1.0,Central Heat with AC,1.0,2.0
MCMURRAY RD,BETHEL PARK,15102,Bethel Park  ,Bethel Park,SUBURBAN (SOUTH AND WEST OF PITTSBURGH),20 - Taxable,CORPORATION,COMMERCIAL,"RESTAURANT, CAFET AND/OR BAR",192840,,,02-01-2010,02-01-2010,1.0,LOVE&AFFECTION,02-09-2005,1.0,506000,617200,1123200,0,506000,617200,1123200,506000,617200,1123200,,,,,,,,,,,,,,,,,,
DUBLIN RD,BETHEL PARK,15102,Bethel Park  ,Bethel Park,BETHEL PARK,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,12375,HOM,,,04-18-1997,105000.0,OTHER VALID,,,64500,40000,104500,0,82500,40000,122500,82500,40000,122500,BI-LEVEL,1.0,1965.0,Brick,SHINGLE,Full,C,AVERAGE,2.0,GOOD,POOR,7.0,3.0,2.0,1.0,Central Heat with AC,0.0,2.0
TIDEWOOD DR,BETHEL PARK,15102,Bethel Park  ,Bethel Park,BETHEL PARK,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,8529,HOM,,01-26-2016,01-07-2016,224750.0,QUIT CLAIM / SPEC WARRNTY,07-26-1971,0.0,109400,34200,143600,0,127400,34200,161600,127400,34200,161600,COLONIAL,2.0,1971.0,Frame,SHINGLE,Full,C,AVERAGE,2.0,GOOD,AVERAGE,8.0,4.0,2.0,1.0,Central Heat with AC,1.0,2.0
BOYER AVE,BETHEL PARK,15102,Bethel Park  ,Bethel Park,BETHEL PARK,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,18576,HOM,,,11-04-1998,115000.0,VALID SALE,05-05-1950,0.0,96800,40600,137400,0,114800,40600,155400,114800,40600,155400,COLONIAL,2.0,1972.0,Brick,SHINGLE,Full,C,AVERAGE,3.0,AVERAGE,AVERAGE,8.0,4.0,2.0,1.0,Central Heat,1.0,2.0
HIGHFIELD RD,BETHEL PARK,15102,Bethel Park  ,Bethel Park,BETHEL PARK,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,9860,HOM,,,06-07-1990,92000.0,VALID SALE,,,117500,36400,153900,0,135500,36400,171900,135500,36400,171900,COLONIAL,2.0,1976.0,Frame,SHINGLE,Full,C+,AVERAGE +,3.0,AVERAGE,AVERAGE,6.0,3.0,2.0,1.0,Central Heat with AC,1.0,2.0
GREAT DANE DR,BETHEL PARK,15102,Bethel Park  ,Bethel Park,BETHEL PARK,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,12540,HOM,,,12-12-1989,115000.0,VALID SALE,,,129000,40000,169000,0,147000,40000,187000,147000,40000,187000,COLONIAL,2.0,1970.0,Masonry FRAME,SHINGLE,Full,C+,AVERAGE +,3.0,AVERAGE,AVERAGE,7.0,4.0,2.0,1.0,Central Heat with AC,1.0,0.0
COUNTRY RD,BETHEL PARK,15102,Bethel Park  ,Bethel Park,SUMMONS VILLAGE,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,CONDOMINIUM,0,HOM,,,07-17-1989,79000.0,VALID SALE,,,99300,0,99300,0,117300,0,117300,117300,0,117300,CONDO INT,2.0,1984.0,Masonry FRAME,SHINGLE,Full,C+,AVERAGE +,3.0,AVERAGE,AVERAGE,5.0,2.0,2.0,1.0,Central Heat with AC,1.0,0.0
TOWERVUE DR,PITTSBURGH,15227,Baldwin Boro  ,Baldwin Whitehall,VILLAGE OF BRECKENRIDGE,20 - Taxable,REGULAR,RESIDENTIAL,CONDOMINIUM,0,HOM,,10-07-2011,10-07-2011,207225.0,CHANGED AFTER,,,145900,0,145900,0,163900,0,163900,163900,0,163900,CONDO END,2.0,2011.0,Frame,SHINGLE,Full,B,GOOD,3.0,AVERAGE,AVERAGE,6.0,3.0,2.0,1.0,Central Heat with AC,,2.0
GREEN GLEN DR,PITTSBURGH,15227,Baldwin Boro  ,Baldwin Whitehall,BALDWIN BOROUGH,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,7178,HOM,,,07-22-1965,0.0,NOT APPLICABLE,,,59300,26200,85500,0,77300,26200,103500,77300,26200,103500,RANCH,1.0,1965.0,Brick,SHINGLE,Full,C,AVERAGE,3.0,AVERAGE,AVERAGE,6.0,3.0,1.0,2.0,Central Heat with AC,0.0,1.0
CATHELL RD,PITTSBURGH,15236,Baldwin Boro  ,Baldwin Whitehall,BALDWIN BOROUGH,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,12871,HOM,,08-01-2011,08-01-2011,100000.0,OTHER VALID,04-13-2000,81300.0,59300,26700,86000,0,77300,26700,104000,77300,26700,104000,RANCH,1.0,1956.0,Brick,SHINGLE,Full,C-,AVERAGE -,3.0,AVERAGE,AVERAGE,7.0,3.0,1.0,1.0,Central Heat with AC,0.0,1.0
PLEASANTVUE DR,PITTSBURGH,15227,Baldwin Boro  ,Baldwin Whitehall,BALDWIN BOROUGH,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,6160,HOM,,,07-29-1999,38380.0,OTHER INVALID,06-29-1994,73000.0,43600,26100,69700,0,61600,26100,87700,61600,26100,87700,RANCH,1.0,1957.0,Brick,SHINGLE,Full,C-,AVERAGE -,3.0,AVERAGE,AVERAGE,7.0,3.0,1.0,0.0,Central Heat with AC,0.0,1.0
EILEEN DR,PITTSBURGH,15227,Baldwin Boro  ,Baldwin Whitehall,BALDWIN BOROUGH,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,6600,HOM,,08-25-2008,08-25-2008,85000.0,OTHER VALID,05-06-1988,1.0,43800,26100,69900,0,61800,26100,87900,61800,26100,87900,RANCH,1.0,1954.0,Brick,SHINGLE,Full,C-,AVERAGE -,3.0,AVERAGE,AVERAGE,5.0,3.0,1.0,0.0,Central Heat with AC,0.0,1.0
WILLETT RD,PITTSBURGH,15227,Baldwin Boro  ,Baldwin Whitehall,BALDWIN BOROUGH,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,14449,HOM,,,10-30-1995,62000.0,VALID SALE,,,35200,26900,62100,0,53200,26900,80100,53200,26900,80100,CAPE COD,1.0,1938.0,Frame,SHINGLE,Full,C-,AVERAGE -,3.0,AVERAGE,AVERAGE,5.0,2.0,1.0,1.0,Central Heat with AC,0.0,0.0
SONGO ST,PITTSBURGH,15227,Baldwin Boro  ,Baldwin Whitehall,BALDWIN BOROUGH,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,RES AUX BUILDING (NO HOUSE),4536,,,01-08-2007,01-08-2007,1.0,LOVE&AFFECTION,05-05-1950,0.0,1400,1600,3000,0,1400,1600,3000,1400,1600,3000,,,,,,,,,,,,,,,,,,
ELMWOOD DR,PITTSBURGH,15227,Baldwin Boro  ,Baldwin Whitehall,BALDWIN BOROUGH,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,6500,HOM,,04-23-2012,04-23-2012,110500.0,SALE NOT ANALYZ,09-08-2011,40884.0,54000,35100,89100,0,72000,35100,107100,72000,35100,107100,CAPE COD,1.0,1954.0,Brick,SHINGLE,Full,C,AVERAGE,3.0,AVERAGE,AVERAGE,6.0,3.0,1.0,1.0,Central Heat with AC,1.0,1.0
ELMWOOD DR,PITTSBURGH,15227,Baldwin Boro  ,Baldwin Whitehall,BALDWIN BOROUGH,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,9000,HOM,,,09-26-1988,52500.0,VALID SALE,,,58600,35400,94000,0,76600,35400,112000,76600,35400,112000,COLONIAL,2.0,1972.0,Masonry FRAME,SHINGLE,Full,C,AVERAGE,3.0,AVERAGE,AVERAGE,7.0,4.0,1.0,0.0,Central Heat,0.0,1.0
DOLORES DR,PITTSBURGH,15227,Baldwin Boro  ,Baldwin Whitehall,BALDWIN BOROUGH,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,9100,HOM,,,07-25-2001,130000.0,OTHER VALID,11-23-1992,107000.0,97900,35400,133300,0,115900,35400,151300,115900,35400,151300,COLONIAL,2.0,1975.0,Masonry FRAME,SHINGLE,Full,C+,AVERAGE +,3.0,AVERAGE,AVERAGE,7.0,3.0,2.0,1.0,Central Heat with AC,1.0,2.0
